Authoritative Name,Synonym,Category
thalamus,thalamencephalon,structure
thalamus,thalami,structure
thalamus,Thalamus dorsalis,structure
thalamus,thalamus opticus,structure
thalamus,thalamuses,structure
transverse temporal gyrus,convolutions of Heschl,structure
transverse temporal gyrus,gyri of Heschl,structure
transverse temporal gyrus,Gyri temporales transversi,structure
transverse temporal gyrus,Heschl's convolutions,structure
transverse temporal gyrus,Heschl's gyri,structure
transverse temporal gyrus,Heschl's gyrus,structure
transverse temporal gyrus,transverse temporal gyri,structure
trapezoid body,corpus trapezoides,structure
trapezoid body,Corpus trapezoideum,structure
trapezoid body,trapezoid bodies,structure
tuber cinereum,tuber cinereum,structure
ventral anterior nucleus,Nucleus lateropolaris,structure
ventral anterior nucleus,Nucleus ventralis anterior,structure
ventral anterior nucleus,Nucleus ventralis anterior thalami,structure
ventral anterior nucleus,Nucleus ventralis thalami anterior,structure
ventral anterior nucleus,ventral anterior nuclei,structure
ventral anterior nucleus,ventral anterior thalamic nuclei,structure
ventral anterior nucleus,ventral anterior thalamic nucleus,structure
ventral anterior nucleus,ventroanterior thalamic nuclei,structure
ventral anterior nucleus,ventroanterior thalamic nucleus,structure
ventral posterior nucleus,Nuclei ventrales posteriores,structure
ventral posterior nucleus,Nucleus ventralis posterior,structure
ventral posterior nucleus,ventral posterior nuclei,structure
ventral posterior nucleus,ventral posterior thalamic nuclei,structure
ventral posterior nucleus,ventral posterior thalamic nucleus,structure
ventral posterior nucleus,ventrobasal complex,structure
ventral posterior nucleus,ventrobasal nuclei,structure
ventral posterior nucleus,ventrobasal nucleus,structure
ventral posterolateral nucleus,Nucleus ventralis posterior lateralis thalam,structure
ventral posterolateral nucleus,Nucleus ventralis posterolateralis,structure
ventral posterolateral nucleus,Nucleus ventralis posterolateralis thalami,structure
ventral posterolateral nucleus,Nucleus ventralis thalami posterior lateralis,structure
ventral posterolateral nucleus,posterolateral ventral nucleus of thalamus,structure
ventral posterolateral nucleus,ventral posterolateral nuclei,structure
ventral posterolateral nucleus,ventral posterolateral nucleus,structure
ventral posterolateral nucleus,ventral posterolateral nucleus of thalamus,structure
ventral posterolateral nucleus,ventral posterolateral thalamic nuclei,structure
ventral posterolateral nucleus,ventral posterolateral thalamic nucleus,structure
ventral posteromedial nucleus,arcuate nucleus of thalamus,structure
ventral posteromedial nucleus,Nucleus arcuatus thalami,structure
ventral posteromedial nucleus,Nucleus semilunaris thalami,structure
ventral posteromedial nucleus,Nucleus ventralis posterior medialis thalam,structure
ventral posteromedial nucleus,Nucleus ventralis posteromedialis,structure
ventral posteromedial nucleus,Nucleus ventralis posteromedialis thalami,structure
ventral posteromedial nucleus,Nucleus ventrocaudalis anterior internus,structure
ventral posteromedial nucleus,posteromedial ventral nucleus of thalamus,structure
ventral posteromedial nucleus,semilunar nucleus,structure
ventral posteromedial nucleus,thalamic gustatory nucleus,structure
ventral posteromedial nucleus,ventral posterior medial nuclei,structure
ventral posteromedial nucleus,ventral posterior medial nucleus,structure
ventral posteromedial nucleus,ventral posteromedial nuclei,structure
ventral posteromedial nucleus,ventral posteromedial nucleus,structure
ventral posteromedial nucleus,ventral posteromedial nucleus of thalamus,structure
ventral tegmental area,Area tegmentalis ventralis,structure
ventral tegmental area,ventral tegmental area of Tsai,structure
ventral tegmental area,ventral tegmental nucleus of Tsai,structure
vestibular nuclei,Nuclei vestibulares,structure
vestibular nuclei,vestibular nuclear complex,structure
vestibular nuclei,vestibular nuclei,structure
vestibular nuclei,vestibular nuclei,structure
vestibular nuclei,vestibular nucleus,structure
visual extrastriate,visual extrastriate cortex,structure
visual extrastriate,visual extrastriate cortices,structure
Wernicke's area,area of Wernicke,structure
Wernicke's area,Wernicke's area,structure
Wernicke's area,Wernicke's speech area,structure
zona incerta,zona incerta,structure
